Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5440

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 1.5454
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 4
                beta: 2
               omega: 0
                 e_v: 1.0000e-04

Running model run (ode15s):
Run to steady
Saving model run to
./RUN/output_006_steady.nc
Fields, IC & BC initialised
Initial phi calculated in 2.1s
0.0/36500.0 days/days; walltime: 21.7
1825.0/36500.0 days/days; walltime: 167.0
3650.0/36500.0 days/days; walltime: 4.5
5475.0/36500.0 days/days; walltime: 4.1
7300.0/36500.0 days/days; walltime: 0.8
--------9125.0/36500.0 days/days; walltime: 7.5
10950.0/36500.0 days/days; walltime: 820.9
12775.0/36500.0 days/days; walltime: 597.7
14600.0/36500.0 days/days; walltime: 484.4
16425.0/36500.0 days/days; walltime: 375.9
--18250.0/36500.0 days/days; walltime: 341.6
20075.0/36500.0 days/days; walltime: 96.7
21900.0/36500.0 days/days; walltime: 1.7
23725.0/36500.0 days/days; walltime: 0.8
25550.0/36500.0 days/days; walltime: 0.2
27375.0/36500.0 days/days; walltime: 0.2
29200.0/36500.0 days/days; walltime: 0.1
31025.0/36500.0 days/days; walltime: 0.2
34675.0/36500.0 days/days; walltime: 0.2
Wallclock for model run: 2923.0s
 
Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_006_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36500.0/37230.0 days/days; walltime: 18.8
36501.0/37230.0 days/days; walltime: 60.6
36502.0/37230.0 days/days; walltime: 7.8
36503.0/37230.0 days/days; walltime: 7.1
36504.0/37230.0 days/days; walltime: 6.8
36505.0/37230.0 days/days; walltime: 7.2
36506.0/37230.0 days/days; walltime: 12.6
36507.0/37230.0 days/days; walltime: 18.3
36508.0/37230.0 days/days; walltime: 9.7
36509.0/37230.0 days/days; walltime: 7.6
36510.0/37230.0 days/days; walltime: 11.6
36511.0/37230.0 days/days; walltime: 5.2
36512.0/37230.0 days/days; walltime: 6.9
