Case 1:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.18945

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0138
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.2500
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_001_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36500.0/37230.0 days/days; walltime: 15.7
36501.0/37230.0 days/days; walltime: 118.3
36502.0/37230.0 days/days; walltime: 4.2
36503.0/37230.0 days/days; walltime: 4.9
36504.0/37230.0 days/days; walltime: 5.0
36505.0/37230.0 days/days; walltime: 2.2
36506.0/37230.0 days/days; walltime: 2.5
36507.0/37230.0 days/days; walltime: 3.7
36508.0/37230.0 days/days; walltime: 1.5
36509.0/37230.0 days/days; walltime: 1.5
36510.0/37230.0 days/days; walltime: 3.1
36511.0/37230.0 days/days; walltime: 1.1
36512.0/37230.0 days/days; walltime: 1.1
36513.0/37230.0 days/days; walltime: 1.3
36514.0/37230.0 days/days; walltime: 2.8
36515.0/37230.0 days/days; walltime: 1.1
36516.0/37230.0 days/days; walltime: 1.0
36517.0/37230.0 days/days; walltime: 1.0
36518.0/37230.0 days/days; walltime: 0.9
36519.0/37230.0 days/days; walltime: 0.8
36520.0/37230.0 days/days; walltime: 2.5
36521.0/37230.0 days/days; walltime: 0.8
36522.0/37230.0 days/days; walltime: 0.7
36523.0/37230.0 days/days; walltime: 0.8
36524.0/37230.0 days/days; walltime: 0.6
36525.0/37230.0 days/days; walltime: 0.6
36526.0/37230.0 days/days; walltime: 0.6
36527.0/37230.0 days/days; walltime: 0.7
36528.0/37230.0 days/days; walltime: 0.6
36529.0/37230.0 days/days; walltime: 2.2
36530.0/37230.0 days/days; walltime: 0.5
36531.0/37230.0 days/days; walltime: 0.5
36532.0/37230.0 days/days; walltime: 0.5
36533.0/37230.0 days/days; walltime: 0.5
36534.0/37230.0 days/days; walltime: 0.5
36535.0/37230.0 days/days; walltime: 0.5
36536.0/37230.0 days/days; walltime: 0.4
36537.0/37230.0 days/days; walltime: 0.5
36538.0/37230.0 days/days; walltime: 0.4
36539.0/37230.0 days/days; walltime: 0.5
36540.0/37230.0 days/days; walltime: 0.3
36541.0/37230.0 days/days; walltime: 0.4
36542.0/37230.0 days/days; walltime: 0.4
36543.0/37230.0 days/days; walltime: 0.4
36544.0/37230.0 days/days; walltime: 0.3
36545.0/37230.0 days/days; walltime: 0.4
36546.0/37230.0 days/days; walltime: 0.4
36547.0/37230.0 days/days; walltime: 0.4
36548.0/37230.0 days/days; walltime: 0.3
36549.0/37230.0 days/days; walltime: 0.3
36550.0/37230.0 days/days; walltime: 0.4
36551.0/37230.0 days/days; walltime: 0.3
36552.0/37230.0 days/days; walltime: 0.3
36553.0/37230.0 days/days; walltime: 0.4
36554.0/37230.0 days/days; walltime: 0.2
36555.0/37230.0 days/days; walltime: 0.4
36556.0/37230.0 days/days; walltime: 0.2
36557.0/37230.0 days/days; walltime: 0.3
36558.0/37230.0 days/days; walltime: 1.9
36559.0/37230.0 days/days; walltime: 0.2
36560.0/37230.0 days/days; walltime: 0.3
36561.0/37230.0 days/days; walltime: 0.2
36562.0/37230.0 days/days; walltime: 0.3
36563.0/37230.0 days/days; walltime: 0.2
36564.0/37230.0 days/days; walltime: 0.3
36565.0/37230.0 days/days; walltime: 0.2
36566.0/37230.0 days/days; walltime: 0.3
36567.0/37230.0 days/days; walltime: 0.2
36568.0/37230.0 days/days; walltime: 0.3
36569.0/37230.0 days/days; walltime: 0.2
36570.0/37230.0 days/days; walltime: 0.3
36571.0/37230.0 days/days; walltime: 0.2
36572.0/37230.0 days/days; walltime: 0.3
36573.0/37230.0 days/days; walltime: 0.1
36574.0/37230.0 days/days; walltime: 0.2
36575.0/37230.0 days/days; walltime: 0.3
36576.0/37230.0 days/days; walltime: 0.2
36577.0/37230.0 days/days; walltime: 0.2
36578.0/37230.0 days/days; walltime: 0.2
36579.0/37230.0 days/days; walltime: 0.3
36580.0/37230.0 days/days; walltime: 0.2
36581.0/37230.0 days/days; walltime: 0.1
36582.0/37230.0 days/days; walltime: 0.3
36583.0/37230.0 days/days; walltime: 0.2
36584.0/37230.0 days/days; walltime: 0.2
36585.0/37230.0 days/days; walltime: 0.2
36586.0/37230.0 days/days; walltime: 0.1
36587.0/37230.0 days/days; walltime: 0.3
36588.0/37230.0 days/days; walltime: 0.1
36589.0/37230.0 days/days; walltime: 0.3
36590.0/37230.0 days/days; walltime: 0.1
36591.0/37230.0 days/days; walltime: 0.2
36592.0/37230.0 days/days; walltime: 0.2
36593.0/37230.0 days/days; walltime: 0.2
36594.0/37230.0 days/days; walltime: 0.1
36595.0/37230.0 days/days; walltime: 0.3
36596.0/37230.0 days/days; walltime: 0.1
36597.0/37230.0 days/days; walltime: 0.1
36598.0/37230.0 days/days; walltime: 0.3
36599.0/37230.0 days/days; walltime: 0.1
-36600.0/37230.0 days/days; walltime: 0.3
36601.0/37230.0 days/days; walltime: 0.1
36602.0/37230.0 days/days; walltime: 0.1
36603.0/37230.0 days/days; walltime: 0.3
36604.0/37230.0 days/days; walltime: 0.1
36605.0/37230.0 days/days; walltime: 0.1
36606.0/37230.0 days/days; walltime: 0.1
36607.0/37230.0 days/days; walltime: 0.3
36608.0/37230.0 days/days; walltime: 0.1
36609.0/37230.0 days/days; walltime: 0.1
36610.0/37230.0 days/days; walltime: 0.2
36611.0/37230.0 days/days; walltime: 0.1
36612.0/37230.0 days/days; walltime: 0.2
36613.0/37230.0 days/days; walltime: 0.2
36614.0/37230.0 days/days; walltime: 0.1
36615.0/37230.0 days/days; walltime: 0.1
36616.0/37230.0 days/days; walltime: 3.5
36617.0/37230.0 days/days; walltime: 2.0
36618.0/37230.0 days/days; walltime: 5.8
36619.0/37230.0 days/days; walltime: 3.1
36620.0/37230.0 days/days; walltime: 4.7
36621.0/37230.0 days/days; walltime: 7.9
